series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m7.C1,m1.C3,0.1406095329414334,1,2,FALSE,clone-clone,between co-clusters,0.01851851851851851
m7.C2,m1.C3,0.391239003970841,1,2,FALSE,clone-clone,between co-clusters,0
m7.C3,m1.C3,0.20531597287147363,3,2,FALSE,clone-clone,between co-clusters,0.07738095238095238
m7.C4,m1.C3,0.4530111703914026,3,2,FALSE,clone-clone,between co-clusters,0.04310344827586207
m7.C5,m1.C3,0.30394561947797005,3,2,FALSE,clone-clone,between co-clusters,0.01724137931034482
m7.C6,m1.C3,0.4806092513456246,5,2,FALSE,clone-clone,between co-clusters,0.07738095238095238
m7.C7,m1.C3,0.576246976791779,5,2,FALSE,clone-clone,between co-clusters,0.03571428571428571
m7.Enterobacteriaceae,m1.C3,0.4793687624507913,3,2,FALSE,clone-species,between co-clusters,0
m7.Lactobacillaceae,m1.C3,0.34615167875415,1,2,FALSE,clone-species,between co-clusters,0
m7.Paenibacillaceae,m1.C3,0.43594573468451614,1,2,FALSE,clone-species,between co-clusters,0
m8.C1,m1.C3,0.384023662402764,1,2,FALSE,clone-clone,between co-clusters,0
m8.C2,m1.C3,0.09972459070851636,1,2,FALSE,clone-clone,between co-clusters,0.01538461538461538
m8.C3,m1.C3,0.38014762945463787,3,2,FALSE,clone-clone,between co-clusters,0.11904761904761904
m8.C4,m1.C3,0.5159184489944357,5,2,FALSE,clone-clone,between co-clusters,0.05357142857142857
m8.C5,m1.C3,0.5508482040236076,5,2,FALSE,clone-clone,between co-clusters,0.04761904761904761
m8.C6,m1.C3,0.4893599720740651,5,2,FALSE,clone-clone,between co-clusters,0
m8.C7,m1.C3,0.5204895788005044,5,2,FALSE,clone-clone,between co-clusters,0.05
m8.Enterobacteriaceae,m1.C3,0.48436090716422764,3,2,FALSE,clone-species,between co-clusters,0
m8.Lactobacillaceae,m1.C3,0.3366070818220426,1,2,FALSE,clone-species,between co-clusters,0
m8.Paenibacillaceae,m1.C3,0.2622066850149256,1,2,FALSE,clone-species,between co-clusters,0
m1.C5,m1.C4,0.1819709741977359,2,2,TRUE,clone-clone,within co-cluster,0
m1.C6,m1.C4,0.17046387440583177,2,2,TRUE,clone-clone,within co-cluster,0
m1.C7,m1.C4,0.45522643018516196,2,2,TRUE,clone-clone,within co-cluster,0
m1.C8,m1.C4,0.2100233016240124,3,2,FALSE,clone-clone,between co-clusters,0
m1.C9,m1.C4,0.6509867869874613,4,2,FALSE,clone-clone,between co-clusters,0
